,account,date,text,compound,positive,neutral,negative
0,BBC,Sun Jan 14 20:15:03 +0000 2018,Britain is the only place in the world with a medieval Coronation ceremony. ?? #TheCoronation https://t.co/WJfENrXnu3,0.0,0.0,1.0,0.0
1,BBC,Sun Jan 14 20:00:09 +0000 2018,"Long nights, snowshoes and a broken down boat... 

??? This is what it was really like filming #BigCats.… https://t.co/Ot9oNcEwkI",-0.079,0.128,0.731,0.142
2,BBC,Sun Jan 14 19:30:08 +0000 2018,"Ten times pop culture romanticised sexual harassment. 

And maybe you didn't even notice it...… https://t.co/P28RPwXaNK",-0.2023,0.141,0.677,0.182
3,BBC,Sun Jan 14 19:00:07 +0000 2018,"No sympathy from the camera operator at all. ?
https://t.co/cQF64ofzMz",0.0772,0.214,0.598,0.188
4,BBC,Sun Jan 14 18:33:04 +0000 2018,"On the 65th anniversary of the Coronation, the Queen shares her memories of the ceremony. ?

#TheCoronation | 8pm |… https://t.co/E9PmcZEnsf",0.296,0.109,0.891,0.0
5,BBC,Sun Jan 14 18:00:06 +0000 2018,??? Could one of the toughest cycling races bring unity to Colombia? https://t.co/VRRzqjLWMa,-0.0772,0.0,0.902,0.098
6,BBC,Sun Jan 14 17:30:08 +0000 2018,"Rusty spotted cats are super rare, super small and super adorable. ?

#BigCats https://t.co/PgIC5WfdaJ",0.9423,0.623,0.377,0.0
7,BBC,Sun Jan 14 17:02:03 +0000 2018,"Remember when Jay-Z had a legal showdown with a restaurant in Newcastle?! ??

Here are 6 of the strangest lawsuits… https://t.co/PwwpuXxHrZ",0.2003,0.095,0.905,0.0
8,BBC,Sun Jan 14 16:30:09 +0000 2018,"? @IanMcKellen stars as a retired Sherlock Holmes who is haunted by a final case.

#MrHolmes | 6:20pm | @BBCTwo |… https://t.co/iTfz9A9NfS",-0.4767,0.0,0.838,0.162
9,BBC,Sun Jan 14 16:00:06 +0000 2018,"In Greenland, you can find a shark that could live for hundreds of years. ?? https://t.co/kc08HclHef",0.0,0.0,1.0,0.0
10,BBC,Sun Jan 14 15:00:10 +0000 2018,A @NASA telescope has yielded important insights into how stars are born from collapsing gas and dust.… https://t.co/Ag4bp18ZG0,-0.1027,0.095,0.789,0.116
11,BBC,Sun Jan 14 14:00:04 +0000 2018,"While parts of the US &amp; Canada felt as cold as -67C recently, Australia is experiencing its hottest weather in 79 y… https://t.co/mtrZUhzthy",0.0,0.0,1.0,0.0
12,BBC,Sun Jan 14 13:26:03 +0000 2018,"? Thrillers, comedy and foreign drama.

? @BBC_Culture rounds up the most exciting programmes on the small screen o… https://t.co/DpxgDUIyij",0.7264,0.321,0.679,0.0
13,BBC,Sun Jan 14 13:03:04 +0000 2018,"Nominations for the BBC Food and Farming Awards 2018 are now open! ??

If there’s a producer, cook, retailer or ini… https://t.co/mkDAtLcc3R",0.5093,0.141,0.859,0.0
14,BBC,Sun Jan 14 12:30:07 +0000 2018,YouTube has decided to cut ties with vlogger Logan Paul over his Japan suicide video. https://t.co/zE0vEGoLkK https://t.co/rzGMXlKv0s,-0.765,0.0,0.694,0.306
15,BBC,Sun Jan 14 12:00:07 +0000 2018,"Ever wondered how mayonnaise is made? 

Take a peek #InsideTheFactory. https://t.co/laIJyyTO5Q",0.0,0.0,1.0,0.0
16,BBC,Sun Jan 14 11:30:09 +0000 2018,Snow has fallen in the Sahara desert. ?? https://t.co/804PRapagA https://t.co/g3lQIY7l9O,-0.3612,0.0,0.783,0.217
17,BBC,Sun Jan 14 11:18:04 +0000 2018,"RT @bbcmusic: Happy Birthday Dave Grohl! ???

HOW GREAT was the @FooFighters AC/DC cover in @BBCR1's Live Lounge??
Watch ? https://t.co/4lk…",0.8803,0.338,0.662,0.0
18,BBC,Sun Jan 14 11:03:03 +0000 2018,??? Here's what the weather looked like around the world this week. ?  https://t.co/TTYG5JmFJ1 https://t.co/l9vs9T9J9A,0.3612,0.161,0.839,0.0
19,BBC,Sun Jan 14 10:42:37 +0000 2018,"RT @BBCRadio4: ? Let this joyous birdsong ease you into your Sunday morning...
https://t.co/t8HCfaDl7X",0.8113,0.401,0.599,0.0
20,BBC,Sun Jan 14 20:15:03 +0000 2018,Britain is the only place in the world with a medieval Coronation ceremony. ?? #TheCoronation https://t.co/WJfENrXnu3,0.0,0.0,1.0,0.0
21,BBC,Sun Jan 14 20:00:09 +0000 2018,"Long nights, snowshoes and a broken down boat... 

??? This is what it was really like filming #BigCats.… https://t.co/Ot9oNcEwkI",-0.079,0.128,0.731,0.142
22,BBC,Sun Jan 14 19:30:08 +0000 2018,"Ten times pop culture romanticised sexual harassment. 

And maybe you didn't even notice it...… https://t.co/P28RPwXaNK",-0.2023,0.141,0.677,0.182
23,BBC,Sun Jan 14 19:00:07 +0000 2018,"No sympathy from the camera operator at all. ?
https://t.co/cQF64ofzMz",0.0772,0.214,0.598,0.188
24,BBC,Sun Jan 14 18:33:04 +0000 2018,"On the 65th anniversary of the Coronation, the Queen shares her memories of the ceremony. ?

#TheCoronation | 8pm |… https://t.co/E9PmcZEnsf",0.296,0.109,0.891,0.0
25,BBC,Sun Jan 14 18:00:06 +0000 2018,??? Could one of the toughest cycling races bring unity to Colombia? https://t.co/VRRzqjLWMa,-0.0772,0.0,0.902,0.098
26,BBC,Sun Jan 14 17:30:08 +0000 2018,"Rusty spotted cats are super rare, super small and super adorable. ?

#BigCats https://t.co/PgIC5WfdaJ",0.9423,0.623,0.377,0.0
27,BBC,Sun Jan 14 17:02:03 +0000 2018,"Remember when Jay-Z had a legal showdown with a restaurant in Newcastle?! ??

Here are 6 of the strangest lawsuits… https://t.co/PwwpuXxHrZ",0.2003,0.095,0.905,0.0
28,BBC,Sun Jan 14 16:30:09 +0000 2018,"? @IanMcKellen stars as a retired Sherlock Holmes who is haunted by a final case.

#MrHolmes | 6:20pm | @BBCTwo |… https://t.co/iTfz9A9NfS",-0.4767,0.0,0.838,0.162
29,BBC,Sun Jan 14 16:00:06 +0000 2018,"In Greenland, you can find a shark that could live for hundreds of years. ?? https://t.co/kc08HclHef",0.0,0.0,1.0,0.0
30,BBC,Sun Jan 14 15:00:10 +0000 2018,A @NASA telescope has yielded important insights into how stars are born from collapsing gas and dust.… https://t.co/Ag4bp18ZG0,-0.1027,0.095,0.789,0.116
31,BBC,Sun Jan 14 14:00:04 +0000 2018,"While parts of the US &amp; Canada felt as cold as -67C recently, Australia is experiencing its hottest weather in 79 y… https://t.co/mtrZUhzthy",0.0,0.0,1.0,0.0
32,BBC,Sun Jan 14 13:26:03 +0000 2018,"? Thrillers, comedy and foreign drama.

? @BBC_Culture rounds up the most exciting programmes on the small screen o… https://t.co/DpxgDUIyij",0.7264,0.321,0.679,0.0
33,BBC,Sun Jan 14 13:03:04 +0000 2018,"Nominations for the BBC Food and Farming Awards 2018 are now open! ??

If there’s a producer, cook, retailer or ini… https://t.co/mkDAtLcc3R",0.5093,0.141,0.859,0.0
34,BBC,Sun Jan 14 12:30:07 +0000 2018,YouTube has decided to cut ties with vlogger Logan Paul over his Japan suicide video. https://t.co/zE0vEGoLkK https://t.co/rzGMXlKv0s,-0.765,0.0,0.694,0.306
35,BBC,Sun Jan 14 12:00:07 +0000 2018,"Ever wondered how mayonnaise is made? 

Take a peek #InsideTheFactory. https://t.co/laIJyyTO5Q",0.0,0.0,1.0,0.0
36,BBC,Sun Jan 14 11:30:09 +0000 2018,Snow has fallen in the Sahara desert. ?? https://t.co/804PRapagA https://t.co/g3lQIY7l9O,-0.3612,0.0,0.783,0.217
37,BBC,Sun Jan 14 11:18:04 +0000 2018,"RT @bbcmusic: Happy Birthday Dave Grohl! ???

HOW GREAT was the @FooFighters AC/DC cover in @BBCR1's Live Lounge??
Watch ? https://t.co/4lk…",0.8803,0.338,0.662,0.0
38,BBC,Sun Jan 14 11:03:03 +0000 2018,??? Here's what the weather looked like around the world this week. ?  https://t.co/TTYG5JmFJ1 https://t.co/l9vs9T9J9A,0.3612,0.161,0.839,0.0
39,BBC,Sun Jan 14 10:42:37 +0000 2018,"RT @BBCRadio4: ? Let this joyous birdsong ease you into your Sunday morning...
https://t.co/t8HCfaDl7X",0.8113,0.401,0.599,0.0
40,BBC,Sun Jan 14 10:30:08 +0000 2018,"The world has entered a new era of conflict – offensive cyber-attacks aimed at infrastructure and society, all done… https://t.co/Z63a1IY29o",-0.6486,0.0,0.751,0.249
41,BBC,Sun Jan 14 10:09:01 +0000 2018,Here's the moment @ThisIsSigrid found out she'd won @BBCMusic's #SoundOf2018. ?? https://t.co/3Rc2K6dwMS,0.5719,0.252,0.748,0.0
42,BBC,Sun Jan 14 09:47:01 +0000 2018,"Fancy a game of punchball, anyone?! #TheGNShow ? https://t.co/ZVKfXsNmqf",0.0,0.0,1.0,0.0
43,BBC,Sun Jan 14 09:38:16 +0000 2018,RT @BBCSpringwatch: Who's been visiting your garden this winter? https://t.co/Tn7VwADqMZ https://t.co/MjSNAC8E4D,0.0,0.0,1.0,0.0
44,BBC,Sun Jan 14 09:17:02 +0000 2018,Ready to bounce back after the festive season? https://t.co/4w9fbd628g,0.6705,0.44,0.56,0.0
45,BBC,Sun Jan 14 09:11:08 +0000 2018,"RT @bbcgetinspired: Keith Lynch was told he might never walk again - but now he's a champion climber.

? https://t.co/u9Q8KeuwJd #GetInspir…",0.7469,0.239,0.761,0.0
46,BBC,Sun Jan 14 08:30:05 +0000 2018,Unleash your inner sloth &amp; discover why being lazy could actually be the ultimate evolutionary strategy.… https://t.co/HhrOt8wfHV,-0.3612,0.0,0.865,0.135
47,BBC,Sun Jan 14 08:00:02 +0000 2018,More than half a million tonnes of plastic and other untreated waste is dumped into the Ganges each year. https://t.co/fqsGo3x3F9,-0.6705,0.0,0.756,0.244
48,BBC,Sat Jan 13 19:30:06 +0000 2018,"Saved by the whale ????

Via @BBCNews https://t.co/qHPJvDmmit",0.4215,0.286,0.714,0.0
49,BBC,Sat Jan 13 19:03:03 +0000 2018,Go behind-the-scenes with @Madonna as she travels the world to perform her new hits and beloved classics. ? ? ?… https://t.co/RsgmHhA1m7,0.5106,0.155,0.845,0.0
50,BBC,Sat Jan 13 18:30:03 +0000 2018,"Has a fear of flying shrunk your world? ???

Here are three tips for anyone worried about getting on a plane. https://t.co/hLIyaAseXB",-0.6597,0.0,0.769,0.231
51,BBC,Sat Jan 13 18:00:09 +0000 2018,"London's Marylebone Road &amp; Hyde Park Corner have the most polluted postcodes in Britain. ??

How does your area mea… https://t.co/86YDrw6bLy",-0.5095,0.0,0.859,0.141
52,BBC,Sat Jan 13 17:30:07 +0000 2018,"To save Teresa’s life, doctors are going to have to remove part of her face.

(Warning: This video contains graphic… https://t.co/FpBTlGZaQe",0.4939,0.138,0.862,0.0
53,BBC,Sat Jan 13 17:02:01 +0000 2018,Jack has just reached the UK after being rescued from a dog meat farm in South Korea where 2.5m dogs are killed eve… https://t.co/T5IzeUxMEf,-0.3182,0.146,0.697,0.157
54,BBC,Sat Jan 13 16:30:06 +0000 2018,"What am I? ? 

Know the answer? See if you can solve these other riddles. ? https://t.co/EpDXFLZv93 https://t.co/gMh31MVl5K",0.2869,0.126,0.874,0.0
55,BBC,Sat Jan 13 16:00:15 +0000 2018,???? @BBC_Travel gives us 50 reasons to #LoveTheWorld. ? https://t.co/DUCHRV07yR https://t.co/UQp3h6sHf2,0.0,0.0,1.0,0.0
56,BBC,Sat Jan 13 15:30:05 +0000 2018,"? Italian-style tart with a lemon and cinnamon custard topped with lemony pastry. ??

See the @HairyBikers' Torta m… https://t.co/iXhVPCyiLG",0.0,0.0,1.0,0.0
57,BBC,Sat Jan 13 15:22:58 +0000 2018,"RT @BBCR1: Just waiting on that @NiallOfficial and @ShawnMendes collab now ??

https://t.co/WrwoCwK5At",0.0,0.0,1.0,0.0
58,BBC,Sat Jan 13 15:00:03 +0000 2018,Why are ultra-Orthodox Jewish families so impressed with the Essex seaside? https://t.co/tP0BolKFPz,0.6113,0.266,0.734,0.0
59,BBC,Sat Jan 13 14:00:08 +0000 2018,?? The diverse &amp; exciting cheeses of the world wouldn't exist if humans hadn't learned how to take advantage of mic… https://t.co/lW4LIm5MB6,0.6369,0.206,0.794,0.0
60,BBC,Sat Jan 13 13:30:06 +0000 2018,"? The astonishing true story of the first reigning queen of England.

England's Forgotten Queen: The Life and Death… https://t.co/oDz4dZZvY4",0.2263,0.129,0.783,0.088
61,BBC,Sat Jan 13 13:03:07 +0000 2018,Take a look at these incredible photos of snow and ice sculptures at the Harbin Ice and Snow Sculpture festival. ?… https://t.co/ywjmdXZWa5,0.4939,0.138,0.862,0.0
62,BBC,Sat Jan 13 12:31:04 +0000 2018,Were you a regular at the cinema in 2017? Test your knowledge of the year’s biggest films ? ?… https://t.co/Da6bBxe7On,0.0,0.0,1.0,0.0
63,BBC,Sat Jan 13 12:00:07 +0000 2018,Four of the biggest global health stories to follow in 2018. ? https://t.co/j47eCWOmGG,0.0,0.0,1.0,0.0
64,BBC,Sat Jan 13 11:32:04 +0000 2018,"? Scientists are always looking for new ways to provide power. 

Find out about some of the more unusual ones...… https://t.co/kCxfbdt3QI",0.0,0.0,1.0,0.0
65,BBC,Sat Jan 13 11:04:03 +0000 2018,Gas engineer James Gibson spends up to four hours creating mud masterpieces on dirty white vans. ? ?… https://t.co/MNtk4ajFnd,0.4215,0.242,0.636,0.123
66,BBC,Sat Jan 13 10:56:02 +0000 2018,"RT @BBCRadio2: LISTEN ?? @ericclapton: ""I felt like Buddy Guy &amp; BB King looked on me as a musical equal, which was a huge honour""
https://t…",0.8176,0.288,0.712,0.0
67,BBC,Sat Jan 13 10:29:02 +0000 2018,Why rising sea temperatures are turning turtles female in parts of the Great Barrier Reef. ? https://t.co/JmuhPWZdD2,0.5574,0.209,0.714,0.077
68,BBC,Sat Jan 13 10:00:04 +0000 2018,Arya Stark’s kill list gets an update ? #TheGNShow https://t.co/mJbr6h86EN,-0.6908,0.0,0.63,0.37
69,BBC,Sat Jan 13 09:30:04 +0000 2018,Super Blue Blood Moon: What is it and can I see it? ?? https://t.co/Xb9ACCL62q https://t.co/uc95INWIAM,0.5994,0.231,0.769,0.0
70,BBC,Sat Jan 13 09:08:49 +0000 2018,"RT @BBCSport: History.

Saudi Arabia has allowed women to spectate at a football match for the first time.

https://t.co/gHwc7aQDGg https:/…",0.0,0.0,1.0,0.0
71,BBC,Sat Jan 13 09:00:06 +0000 2018,#TheLeagueOfGentlemen's @MarkGatiss shares his top cultural picks with @BBCRadio4. ? https://t.co/2PeZ2yNGo2 https://t.co/QiJV1YI6p1,0.4588,0.308,0.692,0.0
72,BBC,Sat Jan 13 08:30:07 +0000 2018,Another step closer to Marty McFly’s hoverboard.. ? https://t.co/mQEKXirCqz,0.0,0.0,1.0,0.0
73,BBC,Sat Jan 13 07:33:04 +0000 2018,These adorable alpacas are helping people to recover from illness and injury in Lincolnshire. ?… https://t.co/dgXtqRQMKI,-0.0258,0.236,0.524,0.24
74,BBC,Fri Jan 12 19:33:04 +0000 2018,The day I accidentally killed a little boy. https://t.co/QvHrUFLJic https://t.co/r3YCMYGeDs,-0.7845,0.0,0.465,0.535
75,BBC,Fri Jan 12 19:00:07 +0000 2018,"In the endless winter night, terrifying monsters haunt Iceland's caves and mountains. ?? https://t.co/cwZdBQGjct",-0.7506,0.0,0.652,0.348
76,BBC,Fri Jan 12 18:33:03 +0000 2018,"Tonight, @CharltonBrooker, @ScarlettMoffatt and @Pearlie_mack talk pet hates and peeves. ?

#Room101 | 8:30pm |… https://t.co/3ydAdVcULC",-0.4404,0.0,0.818,0.182
77,BBC,Fri Jan 12 17:58:03 +0000 2018,"'Kids are easy to manage... you just lie to them.' ?

@SindhuVFunny on how to raise children. ?… https://t.co/QZuCvxhQr2",0.4404,0.146,0.854,0.0
78,BBC,Fri Jan 12 17:30:07 +0000 2018,"Errs
Yer
Dinner

On the table in just minutes ?
https://t.co/BDG2qj8QGf",0.0,0.0,1.0,0.0
79,BBC,Fri Jan 12 17:00:05 +0000 2018,Astronomers have caught a massive black hole letting out a 'double burp' after bingeing on hot gas.… https://t.co/kvjvjFcO41,0.0,0.0,1.0,0.0
80,BBC,Fri Jan 12 16:40:51 +0000 2018,Where does the money go from the 5p plastic bag charge? ? https://t.co/H3UjuZqd3I https://t.co/4DxREaZtZh,0.0,0.0,1.0,0.0
81,BBC,Fri Jan 12 15:00:02 +0000 2018,"The Queen reveals what it's actually like to take a ride in the Gold State Coach. ? 

#TheCoronation is on @BBCOne… https://t.co/16H4OnOSCh",0.3612,0.116,0.884,0.0
82,BBC,Fri Jan 12 14:03:03 +0000 2018,How Grace Kelly went from being the family failure to Hollywood royalty. ?? ? https://t.co/iIXtfmNCew https://t.co/sURkXsNWcl,-0.128,0.147,0.681,0.173
83,BBC,Fri Jan 12 13:39:17 +0000 2018,"RT @BBCBargainHunt: Oh look, a ring. Oh look, it's got your name on it… 
SURPRISE PROPOSAL! ???

#bbcbargainhunt #bargainhunt https://t.co/…",0.481,0.148,0.852,0.0
84,BBC,Fri Jan 12 13:30:04 +0000 2018,"'Second chances are really important to me'. 

? @JohnLegend explains what Bob Marley’s Redemption Song means to hi… https://t.co/NnbZVnWXqK",0.4391,0.196,0.804,0.0
85,BBC,Fri Jan 12 13:24:30 +0000 2018,RT @bbcmusic: #SoundOf2018 Winner @thisissigrid treated us to an exclusive performance in her hometown of Ålesund in Norway earlier this mo…,0.6486,0.218,0.782,0.0
86,BBC,Fri Jan 12 13:24:15 +0000 2018,RT @bbcworldservice: McDonald's is the only thing that would get this Nigerian TV presenter to come back to the UK. https://t.co/C7r81iT937,0.0,0.0,1.0,0.0
87,BBC,Fri Jan 12 13:23:54 +0000 2018,"RT @BBCBreakfast: The Queen has given a rare interview to the @BBC, revealing what it was like at her Coronation 65 years ago. https://t.co…",0.3612,0.102,0.898,0.0
88,BBC,Fri Jan 12 13:23:47 +0000 2018,RT @TWBBC: Alice Lee was fighting sexism in science over a century ago. @Utafrith tells @ProfBrianCox why Alice is her inspiration for @roy…,0.2263,0.131,0.772,0.097
89,BBC,Fri Jan 12 13:23:40 +0000 2018,"RT @bbcmusic: ?@DuaLipa unleashes visually stunning video for 'IDGAF' ??
Watch ? https://t.co/cCOdxNstUx https://t.co/n8XGs50w5b",0.3818,0.178,0.822,0.0
90,BBC,Fri Jan 12 13:06:44 +0000 2018,RT @bbcworldservice: Why do astronauts get taller in space? https://t.co/uXtAGkYTkE,0.0,0.0,1.0,0.0
91,BBC,Fri Jan 12 13:04:04 +0000 2018,Move over Nessie! Here are 5 things you might not know about Scottish lochs. ? https://t.co/fq15NzWVNA https://t.co/7l6MFsl8WZ,0.0,0.0,1.0,0.0
92,BBC,Fri Jan 12 12:44:54 +0000 2018,"RT @bbcpress: ? HM The Queen and HRH The Prince of Wales help bring the @RoyalFamily art collection to life, in a major new season across T…",0.4019,0.101,0.899,0.0
93,BBC,Fri Jan 12 12:30:02 +0000 2018,"? The rusty spotted cat might be 200 x lighter than a lion, but it's still a ferocious predator. ? 

#BigCats https://t.co/PgIC5WfdaJ",-0.1531,0.0,0.909,0.091
94,BBC,Fri Jan 12 12:01:03 +0000 2018,6 controversial gigs that broke cultural boycotts. ?? https://t.co/8pk8uSAqjy https://t.co/K3MJOeEbOa,-0.7184,0.0,0.462,0.538
95,BBC,Fri Jan 12 10:49:42 +0000 2018,"?? The moment @ThisIsSigrid found out she'd won @BBCMusic's #SoundOf2018. 

There were tears. ? https://t.co/3Rc2K6dwMS",0.4215,0.21,0.682,0.108
96,BBC,Fri Jan 12 10:46:24 +0000 2018,"RT @bbcmusic: ?? “Sigrid wins the #SoundOf2018 ?”

https://t.co/L5njgZ2gfz",0.5719,0.316,0.684,0.0
97,BBC,Fri Jan 12 10:46:11 +0000 2018,"RT @bbcmusic: ? #SoundOf2018 Winner Alert ? 

Huge congratulations to the phenomenal @thisissigrid, the artist our 173 pundits worldwide ha…",0.9042,0.466,0.534,0.0
98,BBC,Fri Jan 12 09:03:03 +0000 2018,"Is the miserable British weather making you want to move abroad? 

?????Take this quiz to see which country best su… https://t.co/7R43a6YAfd",0.3182,0.206,0.674,0.12
99,BBC,Fri Jan 12 08:42:02 +0000 2018,? This Arabian horse &amp; his Palestinian breeder are competing in a show bringing Israelis &amp; Palestinians together. https://t.co/NeGZijFDYP,0.0,0.0,1.0,0.0
100,CBS,Sun Jan 14 22:13:29 +0000 2018,Cast your vote now and see who will be named the winner of Super Bowl Greatest Commercials 2018! Tune in January 30… https://t.co/zUteavWdKi,0.9215,0.379,0.621,0.0
101,CBS,Sun Jan 14 19:12:26 +0000 2018,"If you continue to experience problems, please visit https://t.co/wvWEgDYfI5 to send our support team an email.",0.3182,0.242,0.628,0.13
102,CBS,Sun Jan 14 19:12:25 +0000 2018,"We apologize for the live streaming issues some users are experiencing on CBS All Access this morning. The issue, a… https://t.co/WNl94H269i",0.1027,0.065,0.935,0.0
103,CBS,Sun Jan 14 19:11:33 +0000 2018,"RT @startrekcbs: There will be lots to discuss after tonight's new #StarTrekDiscovery. Luckily, #AfterTrek has you covered. Join @karterhol…",0.6705,0.244,0.756,0.0
104,CBS,Sun Jan 14 14:49:58 +0000 2018,Don’t miss the AFC Divisional game! Stream the Jacksonville Jaguars at Pittsburgh Steelers LIVE today at 1:05PM ET… https://t.co/uYjgjaa6Oj,-0.2244,0.0,0.905,0.095
105,CBS,Sun Jan 14 12:00:01 +0000 2018,"Today's music stars will be tomorrow's legends. In two weeks, celebrate The 60th Annual #GRAMMYs, Sunday, January 2… https://t.co/feZVWMIKua",0.5719,0.171,0.829,0.0
106,CBS,Sat Jan 13 14:32:07 +0000 2018,Don’t miss the AFC Divisional game! Stream the Tennessee Titans at New England Patriots LIVE tonight at 8:15PM ET w… https://t.co/X34bNfms3j,-0.2244,0.0,0.914,0.086
107,CBS,Fri Jan 12 21:39:27 +0000 2018,Star power makes these commercials instant classics! Vote for your favorite spot now and watch Super Bowl Greatest… https://t.co/DwBhTazToF,0.8016,0.297,0.703,0.0
108,CBS,Fri Jan 12 12:00:05 +0000 2018,Four-time GRAMMY® winner @KeithUrban inspires the next generation of young artists through music education. Because… https://t.co/1a32zReMrn,0.7717,0.324,0.676,0.0
109,CBS,Thu Jan 11 20:34:24 +0000 2018,Here's why @startrekcbs needs to be your next binge: https://t.co/locrpdx0VT #StarTrekDiscovery https://t.co/XOMuprlXzG,0.0,0.0,1.0,0.0
110,CBS,Thu Jan 11 20:31:42 +0000 2018,RT @Elementary_CBS: Your favorite detective duo is back! #Elementary returns April 30 at 10/9c! https://t.co/aG8XiwAd6S,0.555,0.204,0.796,0.0
111,CBS,Thu Jan 11 20:31:33 +0000 2018,"RT @CodeBlackCBS: Return to Angels Memorial on Wednesday, May 2 for season 3 of #CodeBlack. https://t.co/ZmfuQhOwoU",0.0,0.0,1.0,0.0
112,CBS,Thu Jan 11 12:00:06 +0000 2018,#TBT to when @latelateshow's @JKCorden rolled into the 2017 #GRAMMYs! Don't miss him return to host The 60th Annual… https://t.co/CbczcnV3HK,0.1867,0.084,0.916,0.0
113,CBS,Wed Jan 10 17:15:18 +0000 2018,Hosts @7BOOMERESIASON &amp; @DanielaRuah return in Super Bowl Greatest Commercials 2018 pitting man vs. beast! Cast you… https://t.co/bk8OKTblMw,0.8553,0.344,0.656,0.0
114,CBS,Wed Jan 10 14:44:59 +0000 2018,"Music's Biggest Night® just got bigger with epic performances by @BrunoMars with @iamcardib, @KeshaRose, @sza and m… https://t.co/rCWrP6PihR",0.0,0.0,1.0,0.0
115,CBS,Tue Jan 09 19:30:28 +0000 2018,RT @BullCBS: Dr. #Bull's latest case could change the way Psychologists work. Don't miss tonight's new episode at 9/8c on CBS! https://t.co…,0.1867,0.076,0.924,0.0
116,CBS,Tue Jan 09 19:27:16 +0000 2018,"?@Prince pushed the envelope and never settled for ordinary.

Celebrate the greatest artists in music history at Th… https://t.co/GPZ9YgK1tH",0.836,0.317,0.683,0.0
117,CBS,Tue Jan 09 18:29:39 +0000 2018,RT @AmazingRaceCBS: This race is just getting started. Catch a new episode of The #AmazingRace tomorrow at 8/7c on CBS! https://t.co/Nab5DC…,0.0,0.0,1.0,0.0
118,CBS,Mon Jan 08 18:07:57 +0000 2018,RT @startrekcbs: #StarTrekDiscovery is back! Episode 10 is now streaming on CBS All Access: https://t.co/xPeb97Rs8J https://t.co/Uvgab7nGgS,0.0,0.0,1.0,0.0
119,CBS,Mon Jan 08 14:34:48 +0000 2018,"New year, new case. Watch the latest episode of #NCISLA now: https://t.co/1rAsX4EsiB https://t.co/QzRZcORK9r",0.0,0.0,1.0,0.0
120,CBS,Sun Jan 14 22:13:29 +0000 2018,Cast your vote now and see who will be named the winner of Super Bowl Greatest Commercials 2018! Tune in January 30… https://t.co/zUteavWdKi,0.9215,0.379,0.621,0.0
121,CBS,Sun Jan 14 19:12:26 +0000 2018,"If you continue to experience problems, please visit https://t.co/wvWEgDYfI5 to send our support team an email.",0.3182,0.242,0.628,0.13
122,CBS,Sun Jan 14 19:12:25 +0000 2018,"We apologize for the live streaming issues some users are experiencing on CBS All Access this morning. The issue, a… https://t.co/WNl94H269i",0.1027,0.065,0.935,0.0
123,CBS,Sun Jan 14 19:11:33 +0000 2018,"RT @startrekcbs: There will be lots to discuss after tonight's new #StarTrekDiscovery. Luckily, #AfterTrek has you covered. Join @karterhol…",0.6705,0.244,0.756,0.0
124,CBS,Sun Jan 14 14:49:58 +0000 2018,Don’t miss the AFC Divisional game! Stream the Jacksonville Jaguars at Pittsburgh Steelers LIVE today at 1:05PM ET… https://t.co/uYjgjaa6Oj,-0.2244,0.0,0.905,0.095
125,CBS,Sun Jan 14 12:00:01 +0000 2018,"Today's music stars will be tomorrow's legends. In two weeks, celebrate The 60th Annual #GRAMMYs, Sunday, January 2… https://t.co/feZVWMIKua",0.5719,0.171,0.829,0.0
